Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PWY-5326,sulfite oxidation IV,SULFATE // HYDROGEN-PEROXIDE // OXYGEN-MOLECULE // WATER // SO3,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00059'>C00059</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,MGI:2446117,MGI:2446117-MONOMER,sulfite oxidase
PWY3DJ-35583,biosynthesis of prostaglandins,WATER // Acceptor // OXYGEN-MOLECULE // Donor-H2 // ARACHIDONIC_ACID // CPD3DJ-35588 // 5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA // ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA // 5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O // 5Z13E-15S-1115-DIHYDROXY-9-OXOPROS // NADP // 5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY // PROTON // NADPH // PROSTAGLANDIN-H2,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00219'>C00219</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01312'>C01312</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02198'>C02198</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00696'>C00696</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00584'>C00584</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00639'>C00639</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00427'>C00427</a>,MGI:97798 // MGI:97797 // MGI:1097156 // MGI:98497 // MGI:1859384 // MGI:108085 // MGI:99261 // MGI:1917592 // MGI:1927593 // MGI:1929282 // MGI:1933427,MGI:97798-MONOMER // MGI:97797-MONOMER // MGI:1097156-MONOMER // MGI:98497-MONOMER // MGI:1859384-MONOMER // MGI:108085-MONOMER // MGI:99261-MONOMER // MGI:1917592-MONOMER // MGI:1927593-MONOMER // MGI:1929282-MONOMER // MGI:1933427-MONOMER,"prostaglandin-endoperoxide synthase 2 // prostaglandin-endoperoxide synthase 1 // prostaglandin I2 (prostacyclin) synthase // thromboxane A synthase 1, platelet // prostaglandin D2 synthase 2, hematopoietic // hydroxyprostaglandin dehydrogenase 15 (NAD) // prostaglandin D2 synthase (brain) // prostaglandin E synthase 2 // prostaglandin E synthase // prostaglandin E synthase 3 (cytosolic) // aldo-keto reductase family 1, member C6"
THIOREDOX-PWY,thioredoxin pathway,PROTON // NADPH // NADP // Red-Thioredoxin // Ox-Thioredoxin // E-,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05359'>C05359</a>,MGI:1354175 // MGI:1347023 // MGI:2386711,MGI:1354175-MONOMER // MGI:1347023-MONOMER // MGI:2386711-MONOMER,thioredoxin reductase 1 // thioredoxin reductase 2 // thioredoxin reductase 3
PWY-6567,chondroitin sulfate biosynthesis (late stages),Chondroitin-GalNAc-6S // Chondroitin-N-acetyl-galactosamines // CHONDROITIN-46-DISULFATE // CHONDROITIN-4-SULFATE // 3-5-ADP // Chondroitin-sulfate-GlcA2S // Chondroitin-D-glucuronates // PAPS // UDP // PROTON // GalNAc-chondroitin-dermatan // UDP-N-ACETYL-GALACTOSAMINE // CPD-8592,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00635'>C00635</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00634'>C00634</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00054'>C00054</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00053'>C00053</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00015'>C00015</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04913'>C04913</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15577'>C15577</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00203'>C00203</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15578'>C15578</a>,MGI:1858224 // MGI:1891767 // MGI:1929064 // MGI:1927166 // MGI:1924840 // MGI:106576 // MGI:2681120 // MGI:1926173,MGI:1858224-MONOMER // MGI:1891767-MONOMER // MGI:1929064-MONOMER // MGI:1927166-MONOMER // MGI:1924840-MONOMER // MGI:106576-MONOMER // MGI:2681120-MONOMER // MGI:1926173-MONOMER,carbohydrate (chondroitin 6/keratan) sulfotransferase 3 // carbohydrate (N-acetylglucosamino) sulfotransferase 7 // carbohydrate sulfotransferase 12 // carbohydrate sulfotransferase 11 // carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15 // chondroitin polymerizing factor // chondroitin sulfate synthase 1 // chondroitin sulfate synthase 3
MGLDLCTANA-PWY,methylglyoxal degradation VI,METHYL-GLYOXAL // WATER // CPD-8891 // NAD // PROTON // NADH // CPD-358 // PYRUVATE // Cytochromes-C-Reduced // Cytochromes-C-Oxidized // D-LACTATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00546'>C00546</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02912'>C02912</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00937'>C00937</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c00022'>c00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00125'>C00125</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00256'>C00256</a>,MGI:106428,MGI:106428-MONOMER,D-lactate dehydrogenase (cytochrome) activity
PWY-0,putrescine degradation III,CO-A // PUTRESCINE // ACETYL-COA // HYDROGEN-PEROXIDE // AMMONIA // CPD-569 // OXYGEN-MOLECULE // PROTON // NADH // CPD-30 // NAD // ACET // 4-AMINO-BUTYRATE // CPD-35 // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00134'>C00134</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02714'>C02714</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05936'>C05936</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00334'>C00334</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00334'>C00334</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02946'>C02946</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,MGI:96916 // MGI:96915 // MGI:1861622 // MGI:99600 // MGI:1353452 // MGI:108186 // MGI:1347050,MGI:96916-MONOMER // MGI:96915-MONOMER // MGI:1861622-MONOMER // MGI:99600-MONOMER // MGI:1353452-MONOMER // MGI:108186-MONOMER // MGI:1347050-MONOMER,"amine oxidase activity // monoamine oxidase A // aldehyde dehydrogenase 9, subfamily A1 // aldehyde dehydrogenase 2, mitochondrial // aldehyde dehydrogenase family 3, subfamily A2 // aldehyde dehydrogenase family 7, member A1 // aldehyde dehydrogenase family 1, subfamily A7"
PWY-5691,urate degradation to allantoin,HYDROGEN-PEROXIDE // URATE // OXYGEN-MOLECULE // CARBON-DIOXIDE // S-ALLANTOIN // CPD-5821 // PROTON // 5-HYDROXYISOURATE // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00366'>C00366</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02350'>C02350</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12248'>C12248</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11821'>C11821</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,MGI:98907 // MGI:1916142,MGI:98907-MONOMER // MGI:1916142-MONOMER,urate oxidase // RIKEN cDNA 1190003J15 gene
PWY-6473,4-aminobutyrate degradation IV,L-ALPHA-ALANINE // 4-AMINO-BUTYRATE // PYRUVATE // SUC // NADH // PROTON // WATER // NAD // SUCC-S-ALD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00041'>C00041</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00334'>C00334</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00334'>C00334</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c00022'>c00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00232'>C00232</a>,MGI:2443582 // MGI:2441982,CPLX3DJ-261 // MGI:2441982-MONOMER,"aldhehyde dehydrogenase family 5, subfamily A1"
PWY-922,mevalonate pathway I,ACETOACETYL-COA // WATER // ACETYL-COA // 3-HYDROXY-3-METHYL-GLUTARYL-COA // NADPH // NADP // CO-A // PROTON // MEVALONATE // CPD-499 // ADP // CARBON-DIOXIDE // Pi // CPD-641 // ATP // CPD-4211 // DELTA3-ISOPENTENYL-PP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00332'>C00332</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00356'>C00356</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00418'>C00418</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01107'>C01107</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01143'>C01143</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00235'>C00235</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00129'>C00129</a>,MGI:87870 // MGI:87871 // MGI:101939 // MGI:96159 // MGI:107592 // MGI:107624 // MGI:1915853 // MGI:2179327 // MGI:2442264 // MGI:2444315 // MGI:1915243,MGI:87870-MONOMER // MGI:87871-MONOMER // MGI:101939-MONOMER // MGI:96159-MONOMER // MGI:107592-MONOMER // MGI:107624-MONOMER // MGI:1915853-MONOMER // MGI:2179327-MONOMER // MGI:2442264-MONOMER // MGI:2444315-MONOMER // MGI:1915243-MONOMER,acetyl-Coenzyme A acetyltransferase 1 // acetyl-Coenzyme A acetyltransferase 2 // 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 // 3-hydroxy-3-methylglutaryl-Coenzyme A reductase // 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 // mevalonate kinase // phosphomevalonate kinase // mevalonate (diphospho) decarboxylase // isopentenyl-diphosphate delta isomerase // isopentenyl-diphosphate delta isomerase 2 // nudix (nucleoside diphosphate linked moiety X)-type motif 12
PWY-5664,tetrahydrobiopterin biosynthesis II,P3I // DIHYDRONEOPTERIN-P3 // FORMATE // GTP // WATER // 6-PYRUVOYL-5678-TETRAHYDROPTERIN // NADP // TETRA-H-BIOPTERIN // 6-LACTOYL-5678-TETRAHYDROPTERIN // NADPH // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00536'>C00536</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04895'>C04895</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c00044'>c00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03684'>C03684</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00272'>C00272</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04244'>C04244</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,MGI:1338783 // MGI:95675 // MGI:103078,MGI:1338783-MONOMER // MGI:95675-MONOMER // MGI:103078-MONOMER,6-pyruvoyl-tetrahydropterin synthase // GTP cyclohydrolase 1 // sepiapterin reductase
PWY-5885,wax esters biosynthesis II,Triacylglycerols // ACYL-COA // DIACYLGLYCEROL // CO-A // Medium-Chain-Esters // CPD-9965 // CPD-7867,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00422'>C00422</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00040'>C00040</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00641'>C00641</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02041'>C02041</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02277'>C02277</a>,MGI:1915050 // MGI:1333825,MGI:1915050-MONOMER // MGI:1333825-MONOMER,diacylglycerol O-acyltransferase 2 // diacylglycerol O-acyltransferase 1
PWY-5670,epoxysqualene biosynthesis,FARNESYL-PP // PPI // NAD-P-OR-NOP // CPD-465 // NADH-P-OR-NOP // Acceptor // WATER // EPOXYSQUALENE // OXYGEN-MOLECULE // Donor-H2 // SQUALENE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00448'>C00448</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03428'>C03428</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01054'>C01054</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00751'>C00751</a>,MGI:102706 // MGI:109296,MGI:102706-MONOMER // MGI:109296-MONOMER,farnesyl diphosphate farnesyl transferase 1 // squalene epoxidase
PWY-6619,adenine and adenosine salvage VI,ADP // AMP // PROTON // ADENOSINE // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00212'>C00212</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,MGI:87930,MGI:87930-MONOMER,adenosine kinase
PWY-6124,inosine-5'-phosphate biosynthesis II,CARBON-DIOXIDE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // Pi // ADP // PROTON // ATP // PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE // L-ASPARTATE // FUM // P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE // THF // 10-FORMYL-THF // AICAR // PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE // IMP // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03373'>C03373</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04751'>C04751</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00122'>C00122</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04823'>C04823</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00101'>C00101</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00234'>C00234</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04677'>C04677</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04734'>C04734</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00130'>C00130</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,MGI:1914304 // MGI:103202 // MGI:1351352,MGI:1914304-MONOMER // MGI:103202-MONOMER // MGI:1351352-MONOMER,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase // adenylosuccinate lyase // 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
PWY-6317,galactose degradation I (Leloir pathway),ADP // PROTON // ATP // GALACTOSE-1P // UDP-GALACTOSE // UDP-GLUCOSE // GLC-6-P // ALPHA-D-GALACTOSE // GALACTOSE // CPD-448 // GLC-1-P,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00446'>C00446</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00052'>C00052</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00029'>C00029</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01172'>C01172</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00984'>C00984</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00962'>C00962</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00663'>C00663</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00103'>C00103</a>,MGI:95730 // MGI:1917226 // MGI:95638 // MGI:1921496 // MGI:2442420,MGI:95730-MONOMER // MGI:1917226-MONOMER // MGI:95638-MONOMER // MGI:1921496-MONOMER // MGI:2442420-MONOMER,"galactokinase 1 // galactokinase 2 // galactose-1-phosphate uridyl transferase // galactose-4-epimerase, UDP // galactose mutarotase"
ADENOSYLHOMOCYSCAT-PWY,methionine salvage II (mammalia),THF // 5-METHYL-THF // DIMETHYL-GLYCINE // MET // HOMO-CYS // BETAINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00101'>C00101</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00440'>C00440</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01026'>C01026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00073'>C00073</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00155'>C00155</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00719'>C00719</a>,MGI:894292 // MGI:1339972 // MGI:1891379,MGI:894292-MONOMER // MGI:1339972-MONOMER // MGI:1891379-MONOMER,5-methyltetrahydrofolate-homocysteine methyltransferase // betaine-homocysteine methyltransferase // betaine-homocysteine methyltransferase 2
GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,Ubiquinols // Ubiquinones // D-Glucose // Pi // GLC-1-P // ADP // GLC // ATP // GLC-6-P // ALPHA-GLC-6-P // GLUCONATE // PROTON // GLC-D-LACTONE // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00390'>C00390</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00399'>C00399</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00103'>C00103</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00221'>C00221</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01172'>C01172</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00668'>C00668</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00257'>C00257</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00198'>C00198</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,MGI:97564 // MGI:1918224 // MGI:97565 // MGI:97566 // MGI:1925668 // MGI:1270854,MGI:97564-MONOMER // MGI:1918224-MONOMER // MGI:97565-MONOMER // MGI:97566-MONOMER // MGI:1925668-MONOMER // MGI:1270854-MONOMER,phosphoglucomutase 1 // phosphoglucomutase 2-like 1 // phosphoglucomutase 2 // phosphoglucomutase 3 // phosphoglucomutase 5 // glucokinase
SALVPURINE2-PWY,xanthine and xanthosine salvage,PRPP // XANTHOSINE-5-PHOSPHATE // PPI // RIBOSE-1P // XANTHINE // XANTHOSINE // Pi,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00655'>C00655</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00620'>C00620</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00385'>C00385</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01762'>C01762</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a>,MGI:97365 // MGI:3712328,MGI:97365-MONOMER // MGI:3712328-MONOMER,purine-nucleoside phosphorylase 1 // purine-nucleoside phosphorylase 2
