Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PWY0-1515,"NarX Two-Component Signal Transduction System, nitrate dependent",PHOSPHO-NARP // NARP-MONOMER // ADP // ATP // NARX-CPLX // PHOSPHO-NARL // PHOSPHO-NARX // NARL-MONOMER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,EG11527 // EG10646 // EG10643,,
PWY-6608,guanosine nucleotides degradation III,AMMONIUM // GMP // PROTON // NADH // URATE // XANTHINE // NAD // WATER // GUANINE // RIBOSE-1P // GUANOSINE // Pi,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00144'>C00144</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00366'>C00366</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00385'>C00385</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00242'>C00242</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00620'>C00620</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00387'>C00387</a>,G7502 // EG11934 // EG10634 // EG11817 // G7742 // G7487 // G7486 // G7485 // EG10222 // G85 // EG12159,G7502-MONOMER // APHA-CPLX // EG10634-MONOMER // EG11817-MONOMER // G7742-MONOMER // CPLX0-761 // DEOD-CPLX // XANTHOSINEPHOSPHORY-CPLX // CPLX0-8619,acid phosphatase / phosphotransferase // UMP phosphatase // broad specificity 5'(3')-nucleotidase and polyphosphatase // purine nucleotidase // putative xanthine dehydrogenase // purine nucleoside phosphorylase // xanthosine phosphorylase // nucleoside phosphorylase PpnP
TCA,TCA cycle I (prokaryotic),Oxo-glutarate-dehydrogenase-lipoyl // Oxo-glutarate-dehydro-suc-DH-lipoyl // Oxo-glutarate-dehydrogenase-DH-lipoyl // OXALO-SUCCINATE // E- // Pi // ADP // ATP // NADH // SUC-COA // NAD // CARBON-DIOXIDE // 2-KETOGLUTARATE // NADPH // NADP // THREO-DS-ISO-CITRATE // CO-A // PROTON // ACETYL-COA // WATER // CIS-ACONITATE // CIT // FUM // Ubiquinols // Ubiquinones // SUC // OXALACETIC_ACID // ETR-Quinols // ETR-Quinones // MAL,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05379'>C05379</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05359'>C05359</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00091'>C00091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00451'>C00451</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00417'>C00417</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00158'>C00158</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00122'>C00122</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00390'>C00390</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00399'>C00399</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00036'>C00036</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00149'>C00149</a>,EG10948 // EG10576 // EG10358 // EG10357 // EG10356 // G6903 // EG11162 // EG10981 // EG10982 // EG10543 // EG10980 // EG10979 // EG10489 // EG10402 // EG11325 // EG12316 // EG10934 // EG10933 // EG10932 // EG10931 // EG12069,MALIC-NAD-CPLX // MALATE-DEHASE // FUMARASE-C // FUMARASE-B // FUMARASE-A // G6903-MONOMER // EG11162-MONOMER // SUCCCOASYN // 2OXOGLUTARATEDEH-CPLX // ISOCITHASE-CPLX // CITRATE-SI-SYNTHASE // CPLX0-7760 // CPLX0-7761 // CPLX0-8160 // EG12069-MONOMER,malate dehydrogenase (oxaloacetate-decarboxylating) // fumarase C // fumarase B // fumarase A // fumarase D // fumarase E // 2-oxoglutarate dehydrogenase complex // aconitate hydratase A // bifunctional aconitate hydratase B/2-methylisocitrate dehydratase
PWY0-461,L-lysine degradation I,LYS // CADAVERINE // NADH // CPD-12763 // NAD // PROTON // NADPH // NADP // WATER // CPD-280 // GLT // 5-AMINOPENTANOATE // CARBON-DIOXIDE // SUC // GLUTARATE // OXYGEN-MOLECULE // ETR-Quinols // 2-KETOGLUTARATE // CPD-381 // ETR-Quinones,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00047'>C00047</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01672'>C01672</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12455'>C12455</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03273'>C03273</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00431'>C00431</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00489'>C00489</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03196'>C03196</a>,EG10131 // G6094 // G7596 // G6755 // G6811 // EG11329 // G6646 // EG10361 // G7394 // EG12387,LYSDECARBOX-CPLX // LDC2-CPLX // CPLX0-8159 // CPLX0-3641 // CPLX0-7687 // CPLX0-7688 // G6646-MONOMER // GABATRANSAM-CPLX // CPLX0-8201 // EG12387-MONOMER,lysine decarboxylase 1 // lysine decarboxylase 2 // putrescine aminotransferase // &gamma;-aminobutyraldehyde dehydrogenase // succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad // succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD // 4-aminobutyrate aminotransferase PuuE // 4-aminobutyrate aminotransferase GabT // glutarate dioxygenase GlaH // L-2-hydroxyglutarate dehydrogenase
PWY-5698,allantoin degradation to ureidoglycolate II (ammonia producing),CARBON-DIOXIDE // ALLANTOATE // AMMONIUM // CPD-1091 // CPD0-2298 // WATER // PROTON // S-ALLANTOIN,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00499'>C00499</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00603'>C00603</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02091'>C02091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02350'>C02350</a>,G6281 // G6285 // G6284 // G6280,CPLX-64 // CPLX-7524 // G6284-MONOMER // B0511-MONOMER,allantoate amidohydrolase // (S)-ureidoglycine aminohydrolase // allantoin transporter
PWY-6126,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II (from IMP and L-aspartate),GDP // Pi // L-ASPARTATE // IMP // GTP // FUM // ADENYLOSUCC // AMP // Red-Thioredoxin // Ox-Thioredoxin // Reduced-NrdH-Proteins // Oxidized-NrdH-Proteins // ADP // DADP // WATER // DATP // CARBON-DIOXIDE // FORMATE // ATP // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00035'>C00035</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00130'>C00130</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00122'>C00122</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03794'>C03794</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00206'>C00206</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00131'>C00131</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,EG10790 // EG11314 // EG10032 // EG10661 // EG10660 // EG12381 // EG20257 // EG10650 // EG11417 // EG11887 // EG11031 // G7401,ADENYLOSUCCINATE-SYN-DIMER // CPLX0-7959 // ADENYL-KIN-MONOMER // RIBONUCLEOSIDE-DIP-REDUCTI-CPLX // RIBONUCLEOSIDE-DIP-REDUCTII-CPLX // NUCLEOSIDE-DIP-KIN-CPLX // RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,adenylosuccinate synthetase // adenylosuccinate lyase // adenylate kinase // ribonucleoside-diphosphate reductase 1 // ribonucleoside-diphosphate reductase 2 // nucleoside diphosphate kinase // anaerobic ribonucleoside-triphosphate reductase
PWY0-1299,arginine dependent acid resistance,AGMATHINE // CARBON-DIOXIDE // PROTON // ARG,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00179'>C00179</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00062'>C00062</a>,EG11501,ARGDECARBOXDEG-CPLX,
MET-SAM-PWY,superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis from L-aspartate,METHIONINE-SYNTHASE-METHYLCOBALAMIN // Methionine-synthase-cob-I-alamins // 2-AMINOACRYLATE // CPD-16015 // PPI // S-ADENOSYLMETHIONINE // CO-A // SUC-COA // CPD-1301 // CPD-1302 // SUC // CYS // O-SUCCINYL-L-HOMOSERINE // THF-GLU-N // MET // 5-METHYL-THF-GLU-N // HOMO-CYS // PYRUVATE // AMMONIUM // L-CYSTATHIONINE // WATER // ADP // L-ASPARTATE // ATP // L-BETA-ASPARTYL-P // NADPH // NADP // Pi // PROTON // L-ASPARTATE-SEMIALDEHYDE // NADH-P-OR-NOP // NAD-P-OR-NOP // HOMO-SER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06410'>C06410</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02218'>C02218</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20904'>C20904</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00091'>C00091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04144'>C04144</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04489'>C04489</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00097'>C00097</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01118'>C01118</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03541'>C03541</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00073'>C00073</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00155'>C00155</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02291'>C02291</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03082'>C03082</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00441'>C00441</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00263'>C00263</a>,EG10589 // EG10581 // EG10584 // EG10582 // EG10587 // EG10583 // EG10564 // EG10550 // EG10088 // EG10998 // EG10590,S-ADENMETSYN-CPLX // HOMSUCTRAN-CPLX // HOMOCYSMET-MONOMER // O-SUCCHOMOSERLYASE-CPLX // HOMOCYSMETB12-MONOMER // CYSTATHIONINE-BETA-LYASE-CPLX // CPLX0-8092 // ASPKINIII-CPLX // ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX // ASPKINIHOMOSERDEHYDROGI-CPLX // ASPKINIIHOMOSERDEHYDROGII-CPLX,methionine adenosyltransferase // cobalamin-dependent methionine synthase // negative regulator of MalT activity/cystathionine &beta;-lyase // aspartate kinase III // fused aspartate kinase/homoserine dehydrogenase 1 // fused aspartate kinase/homoserine dehydrogenase 2
ALANINE-VALINESYN-PWY,L-alanine biosynthesis I,2-KETO-ISOVALERATE // L-ALPHA-ALANINE // PYRUVATE // VAL,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00141'>C00141</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00041'>C00041</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00183'>C00183</a>,EG10107,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,valine&mdash;pyruvate aminotransferase
PWY0-1608,glycine degradation,PROTON // PROTEIN-LIPOYLLYSINE // AMINOMETHYLDIHYDROLIPOYL-GCVH // DIHYDROLIPOYL-GCVH // 2-AMINOACRYLATE // CPD-16015 // WATER // NADH // CARBON-DIOXIDE // METHYLENE-THF-GLU-N // GLY // THF-GLU-N // NAD // AMMONIUM // PYRUVATE // SER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02218'>C02218</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20904'>C20904</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03541'>C03541</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00065'>C00065</a>,EG10408 // EG11442 // EG10371 // EG11810 // EG10543 // EG11623 // EG10990 // EG10930 // G7624,GLYOHMETRANS-CPLX // GCVMULTI-CPLX // LSERINEDEAM2-MONOMER // THREDEHYDCAT-CPLX // LSERINEDEAM1-MONOMER // CPLX0-7622,serine hydroxymethyltransferase // glycine cleavage system // L-serine deaminase II // catabolic threonine dehydratase // L-serine deaminase I // L-serine deaminase III
HOMOSER-METSYN-PWY,L-methionine biosynthesis I,METHIONINE-SYNTHASE-METHYLCOBALAMIN // Methionine-synthase-cob-I-alamins // 2-AMINOACRYLATE // CPD-16015 // CO-A // HOMO-SER // SUC-COA // CPD-1301 // CPD-1302 // SUC // PROTON // CYS // O-SUCCINYL-L-HOMOSERINE // THF-GLU-N // MET // 5-METHYL-THF-GLU-N // HOMO-CYS // PYRUVATE // AMMONIUM // L-CYSTATHIONINE // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06410'>C06410</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02218'>C02218</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20904'>C20904</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00263'>C00263</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00091'>C00091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04144'>C04144</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04489'>C04489</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00097'>C00097</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01118'>C01118</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03541'>C03541</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00073'>C00073</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00155'>C00155</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02291'>C02291</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,EG10581 // EG10584 // EG10582 // EG10587 // EG10583 // EG10564,HOMSUCTRAN-CPLX // HOMOCYSMET-MONOMER // O-SUCCHOMOSERLYASE-CPLX // HOMOCYSMETB12-MONOMER // CYSTATHIONINE-BETA-LYASE-CPLX // CPLX0-8092,cobalamin-dependent methionine synthase // negative regulator of MalT activity/cystathionine &beta;-lyase
OANTIGEN-PWY,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>),Phosphorylated-Phosphoglucosamine-Mutase // CPD0-1096 // Phosphoglucosamine-Mutase // UDP-D-GALACTO-14-FURANOSE // CPD-14553 // DTDP-DEOH-DEOXY-MANNOSE // NADPH // NADP // DTDP-RHAMNOSE // GLC-1-P // TTP // DTDP-DEOH-DEOXY-GLUCOSE // WATER // DTDP-D-GLUCOSE // PPI // UDP-N-ACETYL-D-GLUCOSAMINE // UTP // CO-A // N-ACETYL-D-GLUCOSAMINE-1-P // PROTON // ACETYL-COA // GLT // GLN // GLUCOSAMINE-1P // D-GLUCOSAMINE-6-P // FRUCTOSE-6P // ALPHA-GLC-6-P,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03733'>C03733</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00052'>C00052</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00688'>C00688</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03319'>C03319</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00459'>C00459</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11907'>C11907</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00842'>C00842</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00043'>C00043</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00075'>C00075</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04256'>C04256</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06156'>C06156</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00352'>C00352</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05345'>C05345</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00668'>C00668</a>,EG11981 // EG11979 // EG12411 // EG11978 // EG11454 // EG12412 // EG11198 // EG10382 // EG11553 // G7463 // EG10702,CPLX0-8582 // DTDPDEHYDRHAMEPIM-MONOMER // DTDPDEHYRHAMREDUCT-MONOMER // CPLX0-8034 // CPLX0-8012 // DTDPGLUCDEHYDRAT-CPLX // NAG1P-URIDYLTRANS-CPLX // L-GLN-FRUCT-6-P-AMINOTRANS-CPLX // CPLX0-8583 // CPLX-8401 // CPLX0-7877,"glucose-1-phosphate thymidylyltransferase 1 // glucose-1-phosphate thymidylyltransferase 2 // dTDP-glucose 4,6-dehydratase 1 // fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase // L-glutamine&mdash;D-fructose-6-phosphate aminotransferase // phosphoglucosamine mutase // 5-dehydro-4-deoxy-<small>D</small>-glucuronate isomerase"
