Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
ASPARTATESYN-PWY,L-aspartate biosynthesis,OXALACETIC_ACID // GLT // L-ASPARTATE // 2-KETOGLUTARATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00036'>C00036</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a>,G1G01-4040 // G1G01-2098 // G1G01-5011,G1G01-4040-MONOMER // G1G01-2098-MONOMER // G1G01-5011-MONOMER,aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase
PWY-8004-1,Entner-Doudoroff pathway I,23-DIPHOSPHOGLYCERATE // Protein-Histidines // Protein-pi-phospho-L-histidines // CPD-16758 // 2-KETO-3-DEOXY-6-P-GLUCONATE // NADPH // NADP // CPD-2961 // D-6-P-GLUCONO-DELTA-LACTONE // NADH // GAP // Pi // NAD // DPG // G3P // WATER // 2-PG // PHOSPHO-ENOL-PYRUVATE // PYRUVATE // PROTON // ADP // D-glucopyranose-6-phosphate // Glucopyranose // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01159'>C01159</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00615'>C00615</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04442'>C04442</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00345'>C00345</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01236'>C01236</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00118'>C00118</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00236'>C00236</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00197'>C00197</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00631'>C00631</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00074'>C00074</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00092'>C00092</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00031'>C00031</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-1097 // G1G01-1083 // G1G01-5707 // G1G01-4307 // G1G01-1095 // G1G01-1096 // G1G01-737 // G1G01-1082 // G1G01-2290 // G1G01-3676 // G1G01-5307 // G1G01-1709 // G1G01-4578 // G1G01-1451 // G1G01-1084,G1G01-1097-MONOMER // G1G01-1083-MONOMER // G1G01-5707-MONOMER // G1G01-4307-MONOMER // G1G01-1095-MONOMER // G1G01-1096-MONOMER // G1G01-737-MONOMER // G1G01-1082-MONOMER // G1G01-2290-MONOMER // G1G01-3676-MONOMER // G1G01-5307-MONOMER // G1G01-1709-MONOMER // G1G01-4578-MONOMER // G1G01-1451-MONOMER // G1G01-1084-MONOMER,KHG/KDPG aldolase // phosphogluconate dehydratase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate-1-dehydrogenase // 6-phosphogluconolactonase // glyceraldehyde-3-phosphate dehydrogenase // phosphoglycerate kinase // enolase // pyruvate kinase // pyruvate kinase II // glucokinase
PWY490-4,L-asparagine biosynthesis III (tRNA-dependent),CPD0-915 // AMP // PPI // ASN-tRNAs // L-ASPARTATE // PROTON // GLT // GLN // WATER // ADP // ATP // L-aspartyl-tRNAAsn // Pi // Charged-ASN-tRNAs // 4-Phosphooxy-L-aspartyl-tRNAAsn // AMMONIA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01637'>C01637</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06113'>C06113</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03402'>C03402</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a>,G1G01-1105 // G1G01-1707 // G1G01-321 // G1G01-324 // G1G01-454 // G1G01-456 // G1G01-5419 // G1G01-5420 // G1G01-5049 // G1G01-5050 // G1G01-1851 // G1G01-2490 // G1G01-2623 // G1G01-1005 // G1G01-1004 // G1G01-1006 // G1G01-683 // G1G01-2097,G1G01-1105-MONOMER // G1G01-1707-MONOMER // CPLX1G01-76 // CPLX1G01-153 // CPLX1G01-79 // CPLX1G01-78 // G1G01-1851-MONOMER // G1G01-2490-MONOMER // G1G01-2623-MONOMER // CPLX1G01-77,glutamine-hydrolyzing GMP synthase // CTP synthase // imidazole glycerol phosphate synthase // anthranilate synthase complex // L-glutamate synthase // carbamoyl-phosphate synthase // asparagine synthetase // aminodeoxychorismate synthase/para-aminobenzoate synthase // glutaminase-asparaginase // aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase
GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,Phosphorylated-phosphoglucomutase // ALPHA-GLUCOSE-16-BISPHOSPHATE // Phosphoglucomutase // E- // Pi // GLUCONATE // WATER // GLC-1-P // PROTON // ADP // D-glucopyranose-6-phosphate // ATP // Ubiquinols // GLC-D-LACTONE // Glucopyranose // Ubiquinones,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01231'>C01231</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05359'>C05359</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00257'>C00257</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00092'>C00092</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00390'>C00390</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00198'>C00198</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00031'>C00031</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00399'>C00399</a>,G1G01-2189 // G1G01-1253 // G1G01-3815 // G1G01-5645 // G1G01-1084 // G1G01-1536,G1G01-2189-MONOMER // G1G01-1253-MONOMER // G1G01-3815-MONOMER // G1G01-5645-MONOMER // G1G01-1084-MONOMER // G1G01-1536-MONOMER,bifunctional sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase // gluconolactonase // phosphoglucomutase // phosphomannomutase/phosphoglucomutase // glucokinase // quinoprotein glucose dehydrogenase
PWY-1001,cellulose biosynthesis,UDP // CELLULOSE // CPD-12575,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00015'>C00015</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00029'>C00029</a>,G1G01-2816 // G1G01-2817,CPLX1G01-163,cellulose synthase
PWY-5856,ubiquinol-9 biosynthesis (prokaryotic),CPD-9868 // NADP // CPD-9866 // NADPH // CARBON-DIOXIDE // CPD-9863 // CPD-9957 // ADENOSYL-HOMO-CYS // PROTON // S-ADENOSYLMETHIONINE // CPD-9870 // Acceptor // WATER // CPD-7158 // CPD-9872 // OXYGEN-MOLECULE // Donor-H2 // PPI // NONAPRENYL-4-HYDROXYBENZOATE // CPD-21340 // 4-hydroxybenzoate,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03885'>C03885</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04145'>C04145</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00156'>C00156</a>,G1G01-5358 // G1G01-5545 // G1G01-5562 // G1G01-1866 // G1G01-5356 // G1G01-5543 // G1G01-5674,G1G01-5358-MONOMER // G1G01-5545-MONOMER // G1G01-5562-MONOMER // G1G01-1866-MONOMER // G1G01-5356-MONOMER // G1G01-5543-MONOMER // G1G01-5674-MONOMER,2-nonaprenylphenol hydroxylase // 2-nonaprenyl-6-methoxyphenyl hydroxylase // 3-nonaprenyl-4-hydroxybenzoate carboxy-lyase // ubiquinone biosynthesis O-methyltransferase // ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE // 3-demethoxyubiquinol 3-hydroxylase // 4-hydroxybenzoate nonaprenyltransferase
PWY-3001,superpathway of L-isoleucine biosynthesis I,OXALACETIC_ACID // L-ASPARTATE // L-BETA-ASPARTYL-P // NADH-P-OR-NOP // L-ASPARTATE-SEMIALDEHYDE // NAD-P-OR-NOP // ADP // HOMO-SER // ATP // Pi // O-PHOSPHO-L-HOMOSERINE // 2-KETO-3-METHYL-VALERATE // GLT // ILE // 2-KETOGLUTARATE // NADPH // 1-KETO-2-METHYLVALERATE // NADP // CARBON-DIOXIDE // 2-ACETO-2-HYDROXY-BUTYRATE // PROTON // PYRUVATE // THR // AMMONIUM // 2-OXOBUTANOATE // WATER // CPD-16013 // CPD-15056,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00036'>C00036</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03082'>C03082</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00441'>C00441</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00263'>C00263</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01102'>C01102</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00671'>C00671</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00407'>C00407</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06007'>C06007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06006'>C06006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00188'>C00188</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00109'>C00109</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20905'>C20905</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17234'>C17234</a>,G1G01-4040 // G1G01-2098 // G1G01-5011 // G1G01-4774 // G1G01-2122 // G1G01-2120 // G1G01-1562 // G1G01-736 // G1G01-126 // G1G01-1563 // G1G01-734 // G1G01-5472 // G1G01-3747 // G1G01-4996 // G1G01-4997 // G1G01-4998 // G1G01-3596 // G1G01-1484 // G1G01-1240 // G1G01-5494 // G1G01-4711 // G1G01-3679 // G1G01-3412,G1G01-4040-MONOMER // G1G01-2098-MONOMER // G1G01-5011-MONOMER // G1G01-4774-MONOMER // CPLX1G01-120 // G1G01-1562-MONOMER // G1G01-736-MONOMER // G1G01-126-MONOMER // G1G01-1563-MONOMER // G1G01-734-MONOMER // G1G01-5472-MONOMER // G1G01-3747-MONOMER // G1G01-4996-MONOMER // CPLX1G01-53 // G1G01-3596-MONOMER // G1G01-1484-MONOMER // G1G01-1240-MONOMER // G1G01-5494-MONOMER // G1G01-4711-MONOMER // G1G01-3679-MONOMER // G1G01-3412-MONOMER,aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase // aspartokinase // aspartate-semialdehyde dehydrogenase // homoserine dehydrogenase // homoserine kinase // threonine synthase // dihydroxy-acid dehydratase // branched-chain-amino acid aminotransferase // ketol-acid reductoisomerase // acetolactate synthase // acetolactate synthase large subunit // threonine deaminase // threonine dehydratase // threonine ammonia-lyase/dehydratase
PWY0-1599,periplasmic disulfide bond formation,ETR-Quinols // ETR-Quinones // a--reduced-DsbB-protein // an-oxidized-DsbB-protein // Protein-Disulfides // a-reduced-DsbA-protein // an-oxidized-DsbA-protein // Protein-Dithiols,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02582'>C02582</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02315'>C02315</a>,G1G01-884 // G1G01-133,G1G01-884-MONOMER // G1G01-133-MONOMER,protein thiol:quinone oxidoreductase DsbB // protein dithiol oxidoreductase (disulfide-forming)
PWY0-1313,acetate conversion to acetyl-CoA,AMP // PPI // ACETYL-COA // CO-A // ACET // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-5023 // G1G01-4789,G1G01-5023-MONOMER // G1G01-4789-MONOMER,acetyl-CoA synthetase // acyl-CoA synthetase
PWY-7227,adenosine deoxyribonucleotides <i>de novo</i> biosynthesis,Red-Thioredoxin // Ox-Thioredoxin // WATER // ADP // DATP // DADP // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00131'>C00131</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00206'>C00206</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-1259 // G1G01-1261 // G1G01-924,CPLX1G01-47 // G1G01-924-MONOMER,ribonucleoside-diphosphate reductase // nucleoside diphosphate kinase
PWY-5509,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,GMP // ADENOSYLCOBINAMIDE-GDP // Pi // ADENOSYLCOBALAMIN // ADENOSYLCOBALAMIN-5-P // WATER // ALPHA-RIBAZOLE-5-P // NIACINE // PROTON // NICOTINATE_NUCLEOTIDE // DIMETHYLBENZIMIDAZOLE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00144'>C00144</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06510'>C06510</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00194'>C00194</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21153'>C21153</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04778'>C04778</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00253'>C00253</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01185'>C01185</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03114'>C03114</a>,G1G01-1779 // G1G01-1778 // G1G01-1777,G1G01-1779-MONOMER // G1G01-1778-MONOMER // G1G01-1777-MONOMER,adenosylcobinamide-GDP ribazoletransferase // alpha-ribazole-5'-phosphate phosphatase // nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
PWY-5805,nonaprenyl diphosphate biosynthesis I,PPI // CPD-21340 // GERANYL-PP // DELTA3-ISOPENTENYL-PP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04145'>C04145</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00341'>C00341</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00129'>C00129</a>,G1G01-759,G1G01-759-MONOMER,nonaprenyl diphosphate synthase
PWY-6420,pyrroloquinoline quinone biosynthesis,MET // CH33ADO // S-ADENOSYLMETHIONINE // PqqA-Proteins // PqqA-Cleaved-C-terminus // PqqA-Cleaved-N-terminus // TRIPEPTIDES // PqqA-Proteins-with-linked-Glu-Tyr // HYDROGEN-PEROXIDE // PQQ // OXYGEN-MOLECULE // PROTON // WATER // CPD-12137 // CPD-12136 // CPD-12135 // Donor-H2 // CPD-7244 // CPD-12138 // Acceptor,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00073'>C00073</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05198'>C05198</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00113'>C00113</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15599'>C15599</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a>,G1G01-411 // G1G01-416 // G1G01-413,G1G01-411-MONOMER // G1G01-416-MONOMER // G1G01-413-MONOMER,coenzyme PQQ synthesis protein E // coenzyme PQQ synthesis protein F // pyrroloquinoline-quinone synthase
PWY-5668,cardiolipin biosynthesis I,Pi // WATER // GLYCEROL // CARDIOLIPIN // L-1-PHOSPHATIDYL-GLYCEROL // PROTON // L-1-PHOSPHATIDYL-GLYCEROL-P // CMP // CDPDIACYLGLYCEROL // GLYCEROL-3P,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00116'>C00116</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05980'>C05980</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00344'>C00344</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03892'>C03892</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00055'>C00055</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00269'>C00269</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00093'>C00093</a>,G1G01-569 // G1G01-3491 // G1G01-5720 // G1G01-4364,G1G01-569-MONOMER // G1G01-3491-MONOMER // G1G01-5720-MONOMER // G1G01-4364-MONOMER,phosphatidylglycerophosphatase A // cardiolipin synthase // CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase
PWY-46,putrescine biosynthesis III,PUTRESCINE // CARBON-DIOXIDE // PROTON // L-ORNITHINE // UREA // WATER // ARG,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00134'>C00134</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00077'>C00077</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00086'>C00086</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00062'>C00062</a>,G1G01-939 // G1G01-4826,G1G01-939-MONOMER // G1G01-4826-MONOMER,ornithine decarboxylase // agmatinase
PWY-6121,5-aminoimidazole ribonucleotide biosynthesis I,PRPP // PPI // 5-P-BETA-D-RIBOSYL-AMINE // GLY // THF-GLU-N // FORMYL-THF-GLU-N // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE // GLT // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // GLN // WATER // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // Pi // ADP // PROTON // ATP // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03090'>C03090</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03541'>C03541</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03838'>C03838</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04376'>C04376</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03373'>C03373</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04640'>C04640</a>,G1G01-2130 // G1G01-5160 // G1G01-1762 // G1G01-1110 // G1G01-1763,G1G01-2130-MONOMER // G1G01-5160-MONOMER // G1G01-1762-MONOMER // G1G01-1110-MONOMER // G1G01-1763-MONOMER,amidophosphoribosyl transferase // phosphoribosylamine--glycine ligase // phosphoribosylglycinamide formyltransferase // phosphoribosylformylglycinamidine synthase // phosphoribosylformylglycinamidine cyclo-ligase
